title,src,added,author,interaction
Alluvial Diagram,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/ALLUVIAL_DIAGRAM.png,2/1/2022,Webb Hinton,STATIC
Arc Diagram,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/ARC_DIAGRAM.png,2/1/2022,Webb Hinton,STATIC
Violin Plot,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/VIOLIN_PLOT.png,2/1/2022,Webb Hinton,STATIC
Tree Map,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/TREE_MAP.png,2/1/2022,Webb Hinton,STATIC
Pictorial Fraction Chart,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/PICORIAL_FRACTION_CHART.png,2/1/2022,Webb Hinton,STATIC
Parallel Sets,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/PARALLEL_SETS.png,2/1/2022,Webb Hinton,STATIC
Stacked Alluvial,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/STACKED_AREA_CHART.png,2/1/2022,Webb Hinton,STATIC
Radial Histogram,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/RADIAL_HISTOGRAM.png,2/1/2022,Webb Hinton,STATIC
Bayeux ,"https://ncsu-libraries.github.io/annona/tools/#/display?url=https%3A%2F%2Fdnoneill.github.io%2Fannotate%2Fannotations%2Ffullbayeux-list.json&viewtype=iiif-storyboard&settings=%7B%22fit%22%3A%22horizontal%22,%22fullpage%22%3Atrue%7D",2/9/2022,Mike Nutt,STATIC
Donut Chart,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavisdiagrams_8b28548b-e67d-40e9-b8a5-c4028a2c7109/DONUT_CHART.png,2/1/2022,Webb Hinton,STATIC
Codepen Heat Averages,"https://codepen.io/harakido1/embed/zezrrz?default-tab=result&theme-id=dark"" frameborder=""no"" loading=""lazy"" allowtransparency=""true"" allowfullscreen=""true""",2/1/2022,Webb Hinton,STATIC
Nationa Bridge Inventory Illinois,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavis-images_a739cb8b-7021-4052-a62d-3c4b3b236fce/NATIONAL_BRIDGE_INVENTORY_ILLINOIS.png,2/1/2022,Webb Hinton,STATIC
Migration Between States,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavis-images_a739cb8b-7021-4052-a62d-3c4b3b236fce/MIGRATION_BETWEEN_STATES.png,2/22/2022,Webb Hinton,STATIC
Population By Census Block,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavis-images_a739cb8b-7021-4052-a62d-3c4b3b236fce/POPULATION_BY_CENSUS_GROUP.png,2/22/2022,Webb Hinton,STATIC
Top 25 Mountains By Tography,https://imvr.lib.ncsu.edu/imageProxy/galleries/datavis-images_a739cb8b-7021-4052-a62d-3c4b3b236fce/Top25MountainsByTopographic.jpg,2/1/2022,Webb Hinton,STATIC
